label,requirement,enriched_domain_tags,enriched_stakeholder,enriched_complexity_level,enriched_action_type
F,The system will notify affected parties when changes occur affecting cohorts  including but not limited to changes to the sequence for a cohort�s program of study and changes to a given week�s schedule (lab cancelled this week due to instructor illness).,"['Notification Management', 'Cohort Management', 'Schedule Management']",User,High,Other
F,The system will notify affected parties when changes occur affecting specific students  including but not limited to changing a student�s status from full time to part time and moving a student to a different clinical section.,"['Notification Management', 'Student Management', 'Enrollment Management']",User,High,Other
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to cohorts  including cohort identifier  program of study  preferred sequence of classes and quarters that a cohort will be taking specific classes.,"['Cohort Management', 'Program Management', 'Administrative Management']",Admin,Medium,Update
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Program of Study within the Nursing Department  including the Program of study name  and required classes for that Program of Study.,"['Program Management', 'Curriculum Management', 'Administrative Management']",Admin,Medium,Update
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Site  including the clinical site name  site contact person  contact information  and address.,"['Healthcare', 'Clinical Site Management', 'Staff Management']",Admin,Medium,Update
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Clinical Lab Section  including the clinical site name  the department/section for the lab  the class  instructor  day and time of lab  and contact information.,"['Healthcare', 'Lab Management', 'Clinical Site Management']",Admin,Medium,Update
F,Program Administrators/Nursing Staff Members shall have the ability to modify information relating to a Nursing Student  including student ID  student name  phone number  e-mail  status (full time or part time)  and program of study.,"['Healthcare', 'Student Management', 'Education']",Admin,Medium,Update
LF,The Disputes application shall comply with the corporate standards for user interface creation for internally and externally used applications.,"['Software Development', 'User Interface', 'Corporate Standards']",Security,Low,Other
LF,All screens created as part of the Disputes application must comply with corporate standards for interface creation.,"['Software Development', 'User Interface', 'Corporate Standards']",Security,Low,Other
US,The list of dispute cases that are displayed after a search is performed must be color coded for easy identification of dispute cases based upon the dispute case status.,"['Dispute Management', 'User Experience', 'Search Functionality']",User,Medium,Read
US,100% of the cardmember and merchant services representatives shall use the Disputes application regularly after a 2-day training course.,"['Adoption', 'Training', 'Dispute Management']",User,High,Other
US,100% of cardmember services representatives shall be able to successfully create a dispute case on the first encounter after completing the training course.,"['Dispute Management', 'Training', 'Adoption']",User,High,Create
US,100% of merchant services representatives shall be able to successfully perform a follow up action on a dispute case on the first encounter after completing the training course.,"['Dispute Management', 'Training', 'Adoption']",User,High,Update
O,The Disputes application shall interface with the Cardmember Information Database.  The Cardmember Information Database provides detailed information with regard to a cardmember.  All cardmember detail information must be obtained from the Cardmember Information Database.,"['Data Integration', 'Dispute Management', 'Database Management']",Security,High,Read
O,The Disputes applications shall interface with the Merchant Information Database.  The Merchant Information Database provides detailed information with regard to the merchant. All merchant detail information shall be obtained from the Merchant Information Database.,"['Merchant Information', 'Database Integration', 'Disputes Application']",Admin,Medium,Read
O,The Disputes application shall interface with the Letters application.  This will allow the Disputes application to request letters as part of the dispute initiation and dispute follow up process. All letter requests must be sent to the Print Letter Utility application.,"['Disputes Application', 'Letters Application', 'Print Letter Utility']",User,Medium,Create
O,The Disputes application shall interface with the Cardmember Posting and Billing System.  This will allow the Disputes application to request adjustments to cardmember and merchant�s accounts. All adjustment requests must be sent to the Cardmember Posting and Billing System.,"['Disputes Application', 'Cardmember Posting', 'Billing System']",User,High,Update
SE,The Disputes application shall ensure that only users with the appropriate access level are allowed to initiate dispute requests.,"['Access Control', 'Disputes Application', 'Security']",Security,Medium,Other
SE,Only users with Update access must be able to initiate dispute requests.,"['Access Control', 'Disputes Application', 'User Roles']",Security,Low,Other
SE,The Disputes application shall ensure that only authorized users are allowed to logon to the application.,"['Access Control', 'Disputes Application', 'Authentication']",Security,Medium,Other
SE,All authorized users  once authenticated must be able to logon to the Disputes System,"['Authentication', 'Disputes System', 'Access Control']",User,Low,Read
SE,The Disputes System shall generate a User Report that details any new users that have been added and any changes to an existing user�s access level.  The report will be reviewed for auditing purposes.,"['User Report', 'Disputes System', 'Auditing']",Admin,High,Create
SE,All additions of new users and modifications to users access shall be recorded on the User Report.,"['User Report', 'Access Modifications', 'Auditing']",Admin,Medium,Update
SE,If a user account is revoked  it can only be re-instantiated by the System Administrator.,"['Account Management', 'System Administrator', 'Access Control']",Admin,Low,Update
SE,Only the System Administrator shall be able to reset a revoked user logon account,"['User Management', 'System Administration', 'Security']",Admin,Low,Update
SE,The Disputes application shall manipulate and view business data. Users will not have direct access to data files or databases.,"['Data Management', 'Business Operations', 'Disputes Resolution']",User,Medium,Read
SE,All updates to data files or database must be initiated from the Disputes System.,"['Data Integrity', 'System Integration', 'Disputes Resolution']",System,Medium,Update
L,The Disputes application must conform to the legal requirements as specified by the Merchant Operating Regulations.,"['Regulatory Compliance', 'Merchant Operations', 'Legal Requirements']",Legal,High,Other
L,All business rules specified in the Disputes System shall be in compliance with the Merchant Operating Regulations.,"['Business Rules', 'Regulatory Compliance', 'Merchant Operations']",Legal,High,Other
L,The Disputes application must conform to the legal requirements as specified by Regulation E and Regulation Z that govern credit card disputes processing.,"['Payment Card Regulations', 'Disputes Resolution', 'Regulatory Compliance']",Legal,High,Other
